region,township,total_population,male_population,female_population
01_kachin,Myitkyinar,Total,Male,Female
01_kachin,Waingmaw,Total,Male,Female
01_kachin,Ingyanyan,Total,Male,Female
01_kachin,Tanaing,Total,Male,Female
01_kachin,Chiphwe,Total,Male,Female
01_kachin,Hsotlaw,Total,Male,Female
01_kachin,Hsinbo(Sub-Tsp),Total,Male,Female
01_kachin,Hsadone(Sub-Tsp),Total,Male,Female
01_kachin,Kanpaikti(Sub-Tsp),Total,Male,Female
01_kachin,Shinbwanyyan(Sub-Tsp),Total,Male,Female
01_kachin,Panwa(Sub-Tsp),Total,Male,Female
01_kachin,Mohnyin,Total,Male,Female
01_kachin,Mogaung,Total,Male,Female
01_kachin,Phakant,Total,Male,Female
01_kachin,Hopin(Sub-Tsp),Total,Male,Female
01_kachin,Kamine(Sub-Tsp),Total,Male,Female
01_kachin,Bhamo,Total,Male,Female
01_kachin,Shwegu,Total,Male,Female
01_kachin,Momauk,Total,Male,Female
01_kachin,Mansi,Total,Male,Female
01_kachin,Myohla(Sub-Tsp),Total,Male,Female
01_kachin, Lwe`ge`(Sub-Tsp),Total,Male,Female
01_kachin, Dotphoneyan(Sub-Tsp),Total,Male,Female
01_kachin,Putao,Total,Male,Female
01_kachin,Sumprabum,Total,Male,Female
01_kachin,Machanbaw,Total,Male,Female
01_kachin,Khaunglanphoo,Total,Male,Female
01_kachin,Naungmoon,Total,Male,Female
01_kachin,Pannandin(Sub-Tsp),Total,Male,Female
02_kayah,Loikaw,Total,Male,Female
02_kayah,Dimawso,Total,Male,Female
02_kayah, Phruso,Total,Male,Female
02_kayah,Shardaw,Total,Male,Female
02_kayah, Bawlakhe,Total,Male,Female
02_kayah, Parsaung,Total,Male,Female
02_kayah,Meisi,Total,Male,Female
02_kayah,Ywathit(Sub-Tsp),Total,Male,Female
03_kayin,Hpa-an,Total,Male,Female
03_kayin,Hlaingbwe,Total,Male,Female
03_kayin,Thandaunggyi,Total,Male,Female
03_kayin,Paingkyon Sub-Tsb,Total,Male,Female
03_kayin,Shan Ywathit(Sub-Tsb),Total,Male,Female
03_kayin,Leiktho (Sub-Tsb),Total,Male,Female
03_kayin,Bawgali(Sub-TsB),Total,Male,Female
03_kayin,Pharpon,Total,Male,Female
03_kayin,Kamamaung(Sub-Tsb),Total,Male,Female
03_kayin,Myawady,Total,Male,Female
03_kayin,Sugali(Sub-Tsp),Total,Male,Female
03_kayin,  Wawlaymyaing(Sub-Tsp),Total,Male,Female
03_kayin,Kawkareik,Total,Male,Female
03_kayin,Kyarinseikkyi,Total,Male,Female
03_kayin, Payarthonezu(Sub-Tsp),Total,Male,Female
03_kayin,Kyaidon(S),Total,Male,Female
04._chin_eng,Haka,Population,,
04._chin_eng,Thantlang,Population,,
04._chin_eng,Falam,Population,,
04._chin_eng,Tedim,Population,,
04._chin_eng,Tonzaung,Population,,
04._chin_eng,Rihkhuadal(S),Population,,
04._chin_eng,Cikha(S),Ward/Village Tract,Population,
04._chin_eng,Mindat,Ward/Village Tract,Population,
04._chin_eng,Matupi,Population,,
04._chin_eng,Kanpalet,Population,,
04._chin_eng,Paletwa,Population,,
04._chin_eng,Reazu(S),Population,,
04._chin_eng,Sami(S),Total,Male,Female
05_sagaing,Sagaing,Ward/Village Tract,Population,
05_sagaing,Myinmu,Population,,
05_sagaing,Myaung,Population,,
05_sagaing,Shwebo,Population,,
05_sagaing,KhinU,Population,,
05_sagaing,Wetlet,Population,,
05_sagaing,Kambalu,Population,,
05_sagaing,Kunhla,Population,,
05_sagaing,Ye U,Population,,
05_sagaing,Depayin,Population,,
05_sagaing,Tasei,Population,,
05_sagaing,Kyaukmyaung,Population,,
05_sagaing,Momnywa,Population,,
05_sagaing,Butalin,Population,,
05_sagaing,Ayartaw,Population,,
05_sagaing,Chaung Oo,Population,,
05_sagaing,Katha,Population,,
05_sagaing,Indaw,Population,,
05_sagaing,Tigyaing,Population,,
05_sagaing,Banmauk,Population,,
